id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type,quality
6316,7.6,0.3,0.36,2.1,0.034,26.0,172.0,0.9944,3.42,0.48,10.5,white,6.0
6480,7.4,0.2,0.36,2.05,0.05,31.0,100.0,0.992,3.19,0.44,10.8,white,6.0
6471,7.9,0.6,0.46,10.6,0.244,33.0,227.0,0.9983,2.87,0.74,9.1,white,3.0
3173,7.4,0.2,0.4,5.5,0.037,34.0,161.0,0.9935,3.05,0.62,11.5,white,4.0
3539,7.3,0.4,0.24,6.7,0.058,41.0,166.0,0.995,3.2,0.41,9.9,white,6.0
1247,5.6,0.3,0.78,13.9,0.074,23.0,92.0,0.9968,3.39,0.48,10.5,red,6.0
2778,6.3,0.4,0.24,6.9,0.069,9.0,117.0,0.9942,3.15,0.35,10.2,white,4.0
3534,7.2,0.2,0.38,14.3,0.058,55.0,194.0,0.9979,3.09,0.44,9.0,white,6.0
963,7.1,0.2,0.39,2.1,0.036,30.0,124.0,0.9908,3.28,0.43,12.2,white,8.0
708,7.1,0.2,0.32,2.2,0.037,28.0,141.0,0.993,3.2,0.57,10.0,white,7.0
4145,5.8,0.3,0.24,9.2,0.044,55.0,152.0,0.9961,3.31,0.38,9.4,white,5.0
1594,5.8,0.3,0.18,1.2,0.031,40.0,114.0,0.9908,3.42,0.4,11.0,white,7.0
5734,6.8,0.3,0.4,22.0,0.048,48.0,167.0,1.001,2.93,0.5,8.7,white,5.0
1304,6.3,0.3,0.32,1.5,0.03,24.0,101.0,0.9892,3.21,0.42,13.0,white,5.0
3748,5.8,0.3,0.21,2.6,0.025,12.0,120.0,0.9894,3.39,0.79,14.0,white,7.0
6189,6.4,0.2,0.29,1.8,0.044,21.0,115.0,0.9917,3.1,0.38,10.2,white,5.0
3245,6.9,0.2,0.35,1.0,0.052,35.0,146.0,0.993,3.45,0.44,10.0,white,6.0
3697,11.6,0.5,0.4,1.4,0.091,6.0,28.0,0.997,3.07,0.65,10.03333333,red,6.0
1859,6.5,0.6,0.33,1.8,0.059,16.0,28.0,0.9953,3.36,0.64,10.1,red,6.0
475,6.8,0.2,0.33,4.7,0.059,31.0,118.0,0.9956,3.43,0.39,9.0,white,7.0
4161,7.8,0.3,0.36,7.0,0.042,38.0,161.0,0.9941,3.26,0.37,11.2,white,8.0
775,5.6,0.3,0.57,10.7,0.056,66.0,171.0,0.9946,3.25,0.61,10.4,white,7.0
2486,5.2,0.2,0.45,3.8,0.027,21.0,128.0,0.992,3.55,0.49,11.2,white,8.0
2791,6.9,0.2,0.26,5.2,0.024,36.0,135.0,0.9948,3.16,0.72,10.7,white,7.0
3583,8.7,0.7,0.31,3.0,0.086,23.0,81.0,1.0002,3.48,0.74,11.6,red,6.0
6186,6.1,0.2,0.3,1.2,0.036,42.0,107.0,0.991,3.34,0.56,10.8,white,7.0
5924,7.1,0.3,0.27,10.4,0.041,26.0,114.0,0.9934,3.04,0.52,11.5,white,7.0
4788,7.6,0.4,0.31,2.1,0.069,13.0,74.0,0.9958,3.26,0.54,9.9,red,6.0
2589,7.2,0.2,0.27,1.4,0.038,31.0,122.0,0.9927,3.15,0.46,10.3,white,6.0
5305,6.0,0.3,0.19,1.7,0.02,24.0,110.0,0.9898,3.32,0.47,12.6,white,7.0
3164,10.2,0.6,0.36,1.8,0.053,5.0,14.0,0.9982,3.17,0.42,10.0,red,6.0
451,5.7,0.2,0.28,1.3,0.027,26.0,101.0,0.9895,3.35,0.38,12.5,white,7.0
2376,7.8,0.5,0.49,7.0,0.043,29.0,149.0,0.9952,3.21,0.33,10.0,white,5.0
13,7.2,0.4,0.46,2.1,0.074,24.0,44.0,0.9953,3.4,0.85,11.0,red,7.0
4807,6.3,0.2,0.21,5.1,0.035,29.0,142.0,0.9942,3.36,0.33,10.1,white,7.0
2748,6.9,0.3,0.23,8.6,0.056,56.0,215.0,0.9967,3.17,0.44,8.8,white,5.0
4499,8.2,0.4,0.36,1.0,0.034,17.0,93.0,0.9906,3.04,0.32,11.7,white,8.0
5033,6.6,0.2,0.35,14.0,0.069,42.0,163.0,0.999,3.56,0.47,9.8,white,6.0
2910,7.9,0.7,0.0,1.4,0.096,6.0,13.0,0.9957,3.43,0.58,9.5,red,5.0
5570,5.9,0.6,0.1,2.2,0.062,39.0,51.0,0.9951,3.52,0.76,11.2,red,6.0
2488,7.4,0.2,0.3,13.7,0.056,33.0,168.0,0.9982,2.9,0.44,8.7,white,7.0
4109,5.1,0.4,0.01,1.5,0.017,25.0,102.0,0.9894,3.38,0.36,12.3,white,7.0
4195,6.7,0.2,0.39,2.9,0.173,63.0,157.0,0.9937,3.1,0.34,9.4,white,6.0
1881,6.6,0.2,0.29,14.45,0.057,29.0,144.0,0.9976,3.33,0.54,10.2,white,6.0
2242,6.6,0.2,0.31,11.4,0.039,46.0,165.0,0.998,3.41,0.44,9.8,white,7.0
758,5.9,0.4,0.32,6.0,0.034,50.0,127.0,0.992,3.51,0.58,12.5,white,7.0
1474,6.8,0.2,0.34,4.7,0.031,34.0,134.0,0.9927,3.21,0.38,10.6,white,6.0
5610,6.6,0.3,0.28,8.5,0.052,55.0,211.0,0.9962,3.09,0.55,8.9,white,6.0
5587,7.1,0.8,0.02,4.4,0.096,5.0,13.0,0.997,3.41,0.57,11.0,red,4.0
1970,7.1,0.2,0.35,16.5,0.04,60.0,171.0,0.999,3.16,0.59,9.1,white,6.0
2657,10.3,0.2,0.47,1.4,0.037,5.0,33.0,0.9939,2.89,0.28,9.6,white,3.0
4859,7.1,0.5,0.0,2.2,0.067,7.0,14.0,0.9952,3.4,0.58,10.9,red,6.0
4333,7.2,0.2,0.39,2.3,0.033,29.0,102.0,0.9908,3.26,0.54,12.3,white,7.0
6492,6.8,0.2,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,white,6.0
543,7.0,0.2,0.32,8.3,0.045,38.0,126.0,0.9958,3.21,0.34,9.2,white,5.0
4270,8.6,0.4,0.39,1.8,0.068,6.0,12.0,0.9952,3.35,0.69,11.7,red,8.0
3804,9.3,0.5,0.29,2.1,0.127,6.0,16.0,0.9968,3.22,0.72,11.2,red,6.0
450,6.7,0.2,0.41,9.1,0.044,50.0,166.0,0.9954,3.14,0.58,9.8,white,6.0
2786,9.3,0.4,0.4,2.6,0.073,10.0,26.0,0.9984,3.34,0.75,10.2,red,6.0
3967,8.5,0.2,0.51,1.75,0.071,45.0,88.0,0.9952,3.33,0.76,11.8,red,7.0
5568,6.9,0.2,0.35,1.7,0.036,33.0,101.0,0.9932,3.21,0.54,10.8,white,7.0
2682,7.3,0.3,0.74,13.5,0.039,46.0,165.0,0.9982,3.02,0.4,8.7,white,5.0
2277,6.1,0.4,0.14,10.4,0.037,18.0,119.0,0.996,3.38,0.45,10.0,white,5.0
3946,6.9,0.7,0.03,2.3,0.054,7.0,16.0,0.9951,3.45,0.63,11.5,red,6.0
4308,6.9,0.3,0.49,23.5,0.057,59.0,235.0,1.0024,2.98,0.47,8.6,white,5.0
856,7.1,0.2,0.49,1.8,0.039,8.0,18.0,0.9934,3.39,0.56,12.4,red,6.0
1279,7.5,0.3,0.39,12.4,0.065,29.0,119.0,0.9974,3.16,0.39,9.4,white,5.0
3987,6.0,0.3,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,white,6.0
5536,7.15,0.2,0.24,9.6,0.119,56.0,178.0,0.9958,3.15,0.44,10.2,white,6.0
345,6.0,0.3,0.42,5.2,0.027,70.0,178.0,0.9914,3.4,0.4,12.3,white,8.0
2172,6.0,0.6,0.2,2.4,0.075,15.0,50.0,0.9947,3.58,0.67,12.5,red,6.0
2834,6.8,0.2,0.24,4.9,0.092,30.0,123.0,0.9951,3.03,0.46,8.6,white,6.0
1286,6.4,0.1,0.47,1.6,0.092,40.0,158.0,0.9928,3.21,0.36,9.8,white,6.0
6350,8.6,0.7,0.24,6.6,0.117,31.0,134.0,1.0014,3.32,1.07,9.3,red,5.0
1908,7.3,0.4,0.37,1.1,0.043,36.0,113.0,0.991,3.39,0.48,12.7,white,8.0
5070,8.8,0.5,0.34,2.7,0.087,24.0,122.0,0.9982,3.26,0.61,9.5,red,5.0
2933,7.4,0.2,0.3,13.7,0.056,33.0,168.0,0.9982,2.9,0.44,8.7,white,7.0
1486,6.1,0.3,0.37,8.4,0.031,70.0,170.0,0.9934,3.42,0.4,11.7,white,8.0
4128,5.8,0.3,0.23,5.0,0.053,29.0,106.0,0.9946,3.13,0.52,9.0,white,5.0
1882,8.7,0.2,0.32,13.4,0.044,35.0,169.0,0.9998,3.12,0.47,8.8,white,7.0
2937,6.5,0.1,0.33,1.9,0.028,23.0,93.0,0.991,3.34,0.7,12.0,white,7.0
4329,6.8,0.3,0.24,7.8,0.052,54.0,214.0,0.9961,3.13,0.47,8.9,white,5.0
3839,6.9,0.5,0.3,2.2,0.088,9.0,105.0,0.9972,3.25,1.18,10.5,red,6.0
4457,10.0,0.3,0.54,1.9,0.083,42.0,74.0,0.9945,2.98,0.63,11.8,red,8.0
2773,11.9,0.4,0.65,2.15,0.068,7.0,27.0,0.9988,3.06,0.68,11.3,red,6.0
4055,8.6,0.2,0.46,1.0,0.054,9.0,72.0,0.9941,2.95,0.49,9.1,white,6.0
2437,7.8,0.2,0.46,12.6,0.042,41.0,143.0,1.0,3.24,0.76,8.5,white,8.0
1307,8.5,0.2,0.41,4.3,0.036,24.0,99.0,0.9947,3.18,0.53,9.7,white,6.0
2912,7.5,0.6,0.56,3.1,0.153,5.0,14.0,0.9948,3.21,1.03,11.6,red,6.0
987,6.5,0.5,0.06,2.0,0.063,29.0,44.0,0.9949,3.38,0.83,10.3,red,6.0
5726,7.8,0.2,0.37,1.0,0.043,10.0,80.0,0.9913,3.08,0.38,11.4,white,5.0
5554,7.8,0.4,0.56,1.0,0.04,8.0,84.0,0.9938,3.25,0.43,10.8,white,5.0
3931,7.7,1.0,0.2,2.0,0.047,15.0,60.0,0.9955,3.36,0.44,10.9,red,5.0
31,7.4,0.4,0.33,2.4,0.068,9.0,26.0,0.9947,3.36,0.6,11.9,red,6.0
2800,6.9,0.2,0.35,1.7,0.036,33.0,101.0,0.9932,3.21,0.54,10.8,white,7.0
3738,7.0,0.3,0.32,1.2,0.053,38.0,138.0,0.9906,3.13,0.28,11.2,white,6.0
2716,6.1,0.6,0.02,2.4,0.069,26.0,46.0,0.9936,3.47,0.45,11.0,red,5.0
270,8.2,0.3,0.44,1.3,0.046,7.0,69.0,0.9944,3.14,0.62,10.2,white,4.0
5752,6.6,0.6,0.2,8.7,0.046,81.0,224.0,0.996,3.17,0.44,9.3,white,5.0
6226,6.8,0.5,0.32,13.2,0.044,54.0,221.0,0.9972,3.27,0.5,9.6,white,6.0
3880,6.0,0.3,0.27,2.3,0.042,19.0,120.0,0.9895,3.32,0.41,12.7,white,7.0
1258,6.6,0.2,0.33,10.1,0.032,8.0,81.0,0.9963,3.19,0.51,9.8,white,6.0
2441,6.2,0.3,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,0.47,9.6,white,6.0
5410,5.7,0.3,0.36,1.8,0.041,38.0,90.0,0.99,3.27,0.98,11.9,white,7.0
5912,6.2,0.3,0.57,1.0,0.043,50.0,92.0,0.99,3.17,0.36,11.5,white,6.0
1411,9.1,0.4,0.5,1.8,0.071,7.0,16.0,0.9946,3.21,0.69,12.5,red,8.0
3584,6.9,0.5,0.36,3.5,0.03,31.0,135.0,0.9904,3.14,0.38,12.2,white,7.0
6234,7.5,1.1,0.1,3.1,0.086,5.0,12.0,0.9958,3.54,0.6,11.2,red,4.0
4577,7.1,0.7,0.16,1.9,0.1,15.0,77.0,0.9966,3.27,0.64,9.3,red,5.0
5471,7.4,0.3,0.37,9.4,0.047,42.0,147.0,0.9982,3.46,0.72,10.0,white,5.0
2354,8.2,0.4,0.24,2.3,0.063,10.0,28.0,0.9961,3.25,0.53,10.2,red,6.0
4310,7.2,0.4,0.46,2.1,0.074,24.0,44.0,0.9953,3.4,0.85,11.0,red,7.0
4225,7.8,0.6,0.09,2.3,0.065,34.0,45.0,0.9942,3.46,0.74,12.7,red,8.0
521,9.2,0.2,0.4,2.4,0.054,18.0,151.0,0.9952,3.04,0.46,9.3,white,4.0
2938,7.4,0.3,0.42,1.1,0.033,17.0,171.0,0.9917,3.12,0.53,11.3,white,6.0
5865,5.4,0.3,0.47,3.0,0.052,47.0,145.0,0.993,3.29,0.75,10.0,white,6.0
5590,7.0,0.3,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,white,6.0
372,7.3,0.7,0.02,2.2,0.072,31.0,92.0,0.9957,3.32,0.68,11.06666667,red,6.0
6059,7.6,0.3,0.34,18.35,0.054,44.0,197.0,1.0008,3.22,0.55,9.0,white,5.0
167,11.9,0.4,0.69,2.3,0.078,12.0,24.0,0.9958,3.0,0.65,12.8,red,6.0
5936,7.9,0.2,0.45,1.5,0.045,17.0,96.0,0.9917,3.13,0.39,11.0,white,6.0
5411,7.4,0.2,0.37,6.9,0.02,14.0,93.0,0.9939,3.0,0.48,10.7,white,7.0
3507,6.6,0.3,0.42,8.2,0.044,60.0,196.0,0.9956,3.14,0.48,9.4,white,5.0
3654,8.0,0.2,0.37,9.6,0.054,23.0,159.0,0.998,3.32,0.47,9.8,white,4.0
759,12.5,0.4,0.55,2.6,0.083,25.0,68.0,0.9995,3.15,0.82,10.4,red,6.0
